ID,Date,Daytype,Food,Sleep,School,Mood
0,2023-05-01,1,6.0,9.0,6.0,9.0
1,2023-05-02,2,8.0,9.0,4.5,3.0
2,2023-05-03,3,6.0,7.0,7.0,5.0
3,2023-05-04,4,9.0,9.0,6.0,5.0
4,2023-05-05,5,9.0,9.0,5.0,6.0
5,2023-05-06,6,7.0,10.0,4.0,4.0
6,2023-05-07,7,9.0,10.0,4.0,6.0
8,2023-05-09,2,8.0,5.0,7.5,7.0
7,2023-05-08,1,6.0,4.0,3.5,4.0
9,2023-05-11,4,8.0,8.0,8.0,8.0
10,2023-05-12,5,8.5,3.0,4.5,5.0
11,2023-05-13,6,7.5,10.0,7.0,7.0
12,2023-05-14,7,7.0,9.0,4.5,7.0
13,2023-05-15,1,6.0,7.0,5.0,6.0
14,2023-05-16,2,4.0,1.5,5.0,5.0
15,2023-05-17,3,4.5,9.0,5.5,6.5
